Date,WorkoutType,DistanceInMeters,Calories,TimeTotalInHours,HeartRateAverage
2022-03-13,Run,2.19,200.0,13.666666666666666,147.0
2022-03-14,Run,2.36,216.0,19.066666666666666,126.0
2022-03-15,Run,3.02,351.0,21.966666666666665,162.0
2022-03-16,Run,3.56,439.0,30.033333333333335,151.0
2022-03-19,RunRun,2.59,245.0,17.71333333333333,299.0
2022-03-20,Run,4.13,465.0,34.733333333333334,146.0
2022-03-21,Run,2.77,292.0,21.05,151.0
2022-03-22,Run,3.48,393.0,28.183333333333334,151.0
2022-03-23,Run,3.42,367.0,25.116666666666667,161.0
2022-03-27,Run,5.57,613.0,46.333333333333336,153.0
2022-03-28,Run,1.62,155.0,12.683333333333334,148.0
2022-03-31,Run,3.32,312.0,21.633333333333333,164.0
2022-04-09,Run,3.22,291.0,27.9,139.0
2022-04-11,Run,6.44,656.0,45.55,165.0
2022-04-12,Run,1.62,133.0,10.966666666666667,153.0
2022-04-16,RunSwim,303.22,365.0,25.535,314.0
2022-04-17,SwimBike,11.7,765.0,39.06666666666666,262.0
2022-04-18,RunSwim,10.76,1267.0,83.89833333333333,295.0
2022-04-19,Run,3.22,317.0,25.75,156.0
2022-04-21,Run,4.83,452.0,37.86666666666667,156.0
2022-04-23,RunRun,11.530000000000001,1060.0,91.88166666666666,310.0
2022-04-24,SwimBike,7.79,785.0,38.9,275.0
2022-04-25,Run,4.02,335.0,27.95,159.0
2022-04-28,Run,3.22,268.0,21.133333333333333,158.0
2022-05-01,Bike,20.67,505.0,79.0,121.0
2022-05-02,Run,3.22,246.0,19.0,163.0
2022-05-03,Bike,8.19,298.0,43.28333333333333,117.0
2022-05-04,BikeRun,26.98,1208.0,118.14999999999999,297.0
2022-05-07,BikeRunBike,12.9,847.0,77.81666666666666,399.0
2022-05-09,BikeRun,6.29,400.0,39.21666666666667,276.0
2022-05-11,BikeRunRun,34.08,1291.0,134.78333333333333,423.0
2022-05-16,Run,0.45,122.0,14.883333333333333,127.0
2022-05-18,BikeRun,21.44,970.0,86.48333333333333,297.0
2022-05-19,BikeRun,12.49,608.0,64.4,273.0
2022-05-20,Bike,1.24,49.0,6.985,114.0
2022-05-21,Run,12.87,943.0,106.35,147.0
2022-05-24,RunRun,4.41,614.0,57.913333333333334,242.0
2022-05-25,BikeSwim,450.0,991.0,102.82166666666666,303.0
2022-05-26,BikeRun,18.0,661.0,65.5,281.0
2022-05-27,SwimRun,4.279999999999999,994.0,102.33333333333334,243.0
2022-05-29,SwimRun,658.93,841.0,94.86666666666666,272.0
2022-05-31,SwimRun,578.51,575.0,60.916666666666664,287.0
2022-06-01,SwimBikeRun,2.3899999999999997,644.0,74.55000000000001,390.0
2022-06-02,Run,6.43,500.0,50.983333333333334,149.0
2022-06-03,Bike,0.0,258.0,32.15,127.0
2022-06-04,Swim,1.1,246.0,37.35,136.0
2022-06-05,Run,2.2,148.0,21.35,117.0
2022-06-07,SwimRun,7.6,752.0,81.73333333333333,282.0
2022-06-09,RunSwim,9.935,1071.0,100.25,290.0
2022-06-10,Bike,34.8,645.0,73.41666666666667,146.0
2022-06-11,Swim,2.325,528.0,52.516666666666666,141.0
2022-06-12,Run,3.42,239.0,30.3,136.0
2022-06-14,RunSwim,8.0,1245.0,130.68333333333334,280.0
2022-06-21,RunSwim,9.620000000000001,944.0,99.73333333333332,278.0
2022-06-22,Bike,15.4,284.0,31.35,132.0
2022-06-23,Swim,2.325,555.0,54.6,138.0
2022-06-25,Swim,4.0,945.0,88.75,144.0
2022-06-26,Run,8.57,629.0,60.55,146.0
2022-07-10,Run,5.0,393.0,37.06666666666667,152.0
2022-07-11,Bike,14.48,398.0,38.71666666666667,147.0
2022-07-12,Run,6.51,842.0,85.78333333333333,151.0
2022-07-14,SwimBikeRun,25.340000000000003,1065.0,101.5,434.0
2022-07-15,Bike,30.19,607.0,67.13333333333334,144.0
2022-07-16,Swim,1.65,404.0,38.21666666666667,145.0
2022-07-21,Swim,1.5,357.0,35.31666666666667,129.0
2022-07-22,Swim,1.075,258.0,25.666666666666668,133.0
2022-08-01,Run,5.35,437.0,45.8,146.0
2022-08-02,Swim,1.45,372.0,31.016666666666666,128.0
2022-08-21,Bike,11.53,313.0,42.11666666666667,131.0
2022-09-01,Bike,16.78,355.0,41.833333333333336,133.0
2022-09-03,Bike,0.0,244.0,25.3,138.0
2022-09-04,Bike,17.46,405.0,45.56666666666667,140.0
2022-09-11,Run,0.69,49.0,5.885000000000001,120.0
2022-09-13,Run,1.13,122.0,20.316666666666666,107.0
2022-09-19,RunRun,3.0700000000000003,423.0,59.28333333333333,231.0
2022-09-20,Bike,15.75,392.0,44.45,134.0
2022-09-22,Run,2.69,208.0,19.266666666666666,141.0
2022-09-24,Run,5.41,406.0,35.06666666666667,151.0
2022-09-25,Bike,25.26,632.0,65.08333333333333,146.0
2022-09-30,Run,2.71,298.0,24.816666666666666,154.0
2022-10-07,Run,0.6,63.0,11.65,102.0
2022-10-08,Run,9.2,680.0,64.38333333333334,143.0
2022-10-12,Run,2.45,358.0,42.583333333333336,140.0
2022-10-16,Run,3.86,481.0,50.93333333333333,139.0
2022-10-21,Run,2.21,285.0,28.383333333333333,143.0
2022-10-23,Bike,23.88,597.0,54.266666666666666,152.0
2022-10-25,Run,6.4,479.0,38.65,159.0
2022-10-26,Swim,1.3,294.0,30.933333333333334,145.0
2022-10-28,Bike,23.97,534.0,54.5,143.0
2022-10-30,BikeSwim,5.0600000000000005,771.0,70.91666666666666,272.0
2022-11-02,Bike,19.83,442.0,49.56666666666667,137.0
2022-11-04,Run,5.81,568.0,60.43333333333333,137.0
2022-11-11,Run,2.63,257.0,24.3,139.0
2022-11-13,Bike,19.93,441.0,49.666666666666664,139.0
2022-11-17,Run,3.26,369.0,28.833333333333332,160.0
2022-11-20,Swim,1.3,309.0,29.65,145.0
2022-12-01,Swim,675.0,167.0,10.4,127.0
2022-12-16,Bike,14.64,413.0,39.583333333333336,145.0
2022-12-17,Run,2.4,193.0,15.25,150.0
2022-12-19,Bike,14.47,434.0,35.71666666666667,157.0
