Date,WorkoutType,Title,HeartRateAverage,TimeTotalInHours,DistanceInMeters,Calories
2022-03-13,Run,Saint-Mandé Corsa,147.0,0.22777777777777777,2190.0,200.0
2022-03-14,Run,Vincennes Corsa,126.0,0.31777777777777777,2360.0,216.0
2022-03-15,Run,Saint-Mandé Corsa,162.0,0.3661111111111111,3020.0,351.0
2022-03-16,Run,Saint-Mandé Corsa,151.0,0.5005555555555555,3560.0,439.0
2022-03-19,Run,Vincennes Corsa,138.0,0.09355555555555556,760.0,66.0
2022-03-19,Run,Paris - Gara di riferimento,161.0,0.20166666666666666,1830.0,179.0
2022-03-20,Run,Saint-Mandé - Corsa con tempi intermedi negati,146.0,0.5788888888888889,4130.0,465.0
2022-03-21,Run,Vincennes - Corsa breve,151.0,0.35083333333333333,2770.0,292.0
2022-03-22,Run,Saint-Mandé Corsa,151.0,0.4697222222222222,3480.0,393.0
2022-03-23,Run,Saint-Mandé - Corsa facile,161.0,0.4186111111111111,3420.0,367.0
2022-03-27,Run,Saint-Mandé - Corsa con tempi intermedi negati,153.0,0.7722222222222223,5570.0,613.0
2022-03-28,Run,Vincennes - Corsa breve,148.0,0.21138888888888888,1620.0,155.0
2022-03-31,Run,Saint-Mandé Corsa,164.0,0.3605555555555556,3320.0,312.0
2022-04-09,Run,Vincennes - Ripetute di cadenza,139.0,0.465,3220.0,291.0
2022-04-11,Run,Saint-Mandé - Corsa con tempi intermedi negati,165.0,0.7591666666666667,6440.0,656.0
2022-04-12,Run,Vincennes - Corsa breve,153.0,0.1827777777777778,1620.0,133.0
2022-04-16,Run,Vincennes - Corsa a ritmo di gara,161.0,0.3438888888888889,3220.0,269.0
2022-04-16,Swim,Nuoto in piscina,153.0,0.08169444444444444,300.0,96.0
2022-04-17,Swim,Nuoto in piscina,119.0,0.26416666666666666,1700.0,472.0
2022-04-17,Bike,Ciclismo indoor,143.0,0.3869444444444444,10000.0,293.0
2022-04-18,Run,Saint-Mandé - Corsa con tempi intermedi negati,159.0,1.2336111111111112,9660.0,938.0
2022-04-18,Swim,Nuoto in piscina,136.0,0.16469444444444445,1100.0,329.0
2022-04-19,Run,Vincennes - Corsa breve,156.0,0.42916666666666664,3220.0,317.0
2022-04-21,Run,Vincennes - Corsa facile,156.0,0.6311111111111111,4830.0,452.0
2022-04-23,Run,Vincennes - Corsa con tempi intermedi negati,155.0,1.3833333333333333,10460.0,955.0
2022-04-23,Run,Vincennes Corsa,155.0,0.14802777777777776,1070.0,105.0
2022-04-24,Swim,Nuoto in piscina,145.0,0.2772222222222222,1950.0,562.0
2022-04-24,Bike,Paris Ciclismo,130.0,0.3711111111111111,5840.0,223.0
2022-04-25,Run,Vincennes - Corsa breve,159.0,0.4658333333333333,4019.9999999999995,335.0
2022-04-28,Run,Saint-Mandé - Corsa a ritmo di gara,158.0,0.3522222222222222,3220.0,268.0
2022-04-30,Run,Saint-Mandé - Corsa con tempi intermedi negati,165.0,1.426388888888889,10460.0,1064.0
2022-05-01,Bike,Vincennes - Zona 2 Aerobica,121.0,1.3166666666666667,20670.0,505.0
2022-05-02,Run,Vincennes - Corsa breve,163.0,0.31666666666666665,3220.0,246.0
2022-05-03,Bike,Paris - Zona 2 Aerobica,117.0,0.7213888888888889,8189.999999999999,298.0
2022-05-04,Bike,Saint-Mandé - Ripetute in salita da 20 minuti,148.0,1.0725,20530.0,631.0
2022-05-04,Run,Corsa facile,149.0,0.8966666666666666,6450.0,577.0
2022-05-07,Bike,Vincennes Ciclismo,101.0,0.16916666666666666,2400.0,55.0
2022-05-07,Run,Corsa con tempi intermedi negati,155.0,0.9775,8000.0,692.0
2022-05-07,Bike,Fontenay-sous-Bois Ciclismo,143.0,0.1502777777777778,2500.0,100.0
2022-05-09,Bike,Saint-Mandé Ciclismo,115.0,0.2763888888888889,2690.0,117.0
2022-05-09,Run,Corsa breve,161.0,0.37722222222222224,3600.0,283.0
2022-05-11,Bike,Ciclismo indoor,145.0,1.0605555555555555,27300.0,636.0
2022-05-11,Run,Corsa facile,123.0,0.5655555555555556,1530.0,251.0
2022-05-11,Run,Vincennes Corsa,155.0,0.6202777777777778,5250.0,404.0
2022-05-15,Run,Corsa con tempi intermedi negati,155.0,1.5186111111111111,8000.0,1075.0
2022-05-16,Run,Corsa su tapis roulant,127.0,0.24805555555555556,450.0,122.0
2022-05-18,Bike,Ciclismo,138.0,0.5816666666666667,15000.0,345.0
2022-05-18,Run,Corsa facile,159.0,0.8597222222222223,6440.0,625.0
2022-05-19,Bike,Saint-Mandé - Zona 2 Aerobica,125.0,0.49277777777777776,7660.0,249.0
2022-05-19,Run,Paris - Ripetute di cadenza,148.0,0.5805555555555556,4830.0,359.0
2022-05-20,Bike,Vincennes Ciclismo,114.0,0.11641666666666667,1240.0,49.0
2022-05-21,Run,Vincennes - Corsa con tempi intermedi negati,147.0,1.7725,12870.0,943.0
2022-05-24,Run,Corsa su tapis roulant,87.0,0.023,50.0,5.0
2022-05-24,Run,Corsa,155.0,0.9422222222222222,4360.0,609.0
2022-05-25,Bike,Base Building,143.0,1.5727777777777778,0.0,886.0
2022-05-25,Swim,Nuoto in piscina,160.0,0.14091666666666666,450.0,105.0
2022-05-26,Bike,Easy Effort spin,132.0,0.5241666666666667,14000.0,284.0
2022-05-26,Run,Corsa su tapis roulant,149.0,0.5675,4000.0,377.0
2022-05-27,Swim,Nuoto in piscina,133.0,0.37833333333333335,2000.0,553.0
2022-05-27,Run,Zone 1 run,110.0,1.3272222222222223,2280.0,441.0
2022-05-28,Bike,Endurance Step Ups,137.0,2.706111111111111,72000.0,1070.0
2022-05-29,Swim,Nuoto in piscina,128.0,0.44666666666666666,650.0,179.0
2022-05-29,Run,Vincennes - Zone 2 Run,144.0,1.1344444444444444,8930.0,662.0
2022-05-31,Swim,Nuoto,144.0,0.25833333333333336,575.0,137.0
2022-05-31,Run,Zone 3 Intervals,143.0,0.7569444444444444,3510.0,438.0
2022-06-01,Swim,Nuoto,142.0,0.41,1000.0,247.0
2022-06-01,Bike,Easy Effort spin,126.0,0.6388888888888888,0.0,298.0
2022-06-01,Run,Fontenay-sous-Bois Corsa,122.0,0.19361111111111112,1390.0,99.0
2022-06-02,Run,Vincennes - Zone 4 Pyramid Run,149.0,0.8497222222222223,6430.0,500.0
2022-06-03,Bike,Muscular Endurance,127.0,0.5358333333333334,0.0,258.0
2022-06-04,Swim,Nuoto in piscina,136.0,0.6225,1100.0,246.0
2022-06-04,Run,Zone 1 Run,150.0,1.8908333333333334,14410.0,1239.0
2022-06-05,Bike,Vo2 short recovery step up inter,143.0,2.0275,0.0,1004.0
