,TSB
2024-03-03,-5.0553924836224
2024-03-04,-4.2634631601648785
2024-03-05,-12.858953840795742
2024-03-06,-16.222914340978708
2024-03-07,-27.462984794898688
2024-03-08,-23.040620483085526
2024-03-09,-19.225003498120394
2024-03-10,-15.93493807777315
2024-03-11,-13.100047392894346
2024-03-12,-14.345549013211633
2024-03-13,-11.66869518716716
2024-03-14,-18.70152303905467
2024-03-15,-21.271414458788687
2024-03-16,-17.369564970573876
2024-03-17,-14.012316802558804
2024-03-18,-11.126579065645556
2024-03-19,-20.917777793117075
2024-03-20,-18.983681306521
2024-03-21,-17.80521261151101
2024-03-22,-18.242059453685524
2024-03-23,-14.4342469902708
2024-03-24,-25.968451415003635
2024-03-25,-20.84794973816647
2024-03-26,-20.950420514393187
2024-03-27,-16.469360001651708
2024-03-28,-12.624639853150066
2024-03-29,-9.330612389741118
2024-03-30,-6.513053570493376
2024-03-31,-4.107641735432004
2024-04-01,-2.0586388734417174
2024-04-02,-8.891470976445888
2024-04-03,-6.073765640446572
2024-04-04,-8.907283248577576
2024-04-05,-6.040227720016288
2024-04-06,-23.200924955105467
2024-04-07,-18.047946866993673
2024-04-08,-13.629516417630356
2024-04-09,-9.846706256597017
2024-04-10,-6.613785338903593
2024-04-11,-14.281773167063093
2024-04-12,-13.40336874192251
2024-04-13,-22.066819026319266
2024-04-14,-16.781342151254947
2024-04-15,-12.254721081545632
2024-04-16,-13.580751961724626
2024-04-17,-21.9468143732406
2024-04-18,-16.477538176415624
2024-04-19,-14.280173599377303
2024-04-20,-9.891529457177523
2024-04-21,-17.793681762163555
2024-04-22,-12.778935991616336
2024-04-23,-13.480226815235714
2024-04-24,-9.045427873407931
2024-04-25,-17.360671034361914
2024-04-26,-12.247445430643737
2024-04-27,-7.880832706638209
2024-04-28,-32.13250385820311
2024-04-29,-24.587843952453696
2024-04-30,-18.124414689336803
2024-05-01,-12.596471761160775
2024-05-02,-7.8777152022029355
2024-05-03,-29.686298202737504
2024-05-04,-22.22628527439356
2024-05-05,-15.841904859545302
2024-05-06,-13.666058437553982
2024-05-07,-8.503406253691491
2024-05-08,-4.106681682077376
2024-05-09,-0.37207198707333333
2024-05-10,-0.4475738047945832
2024-05-11,2.7278632045812294
2024-05-12,5.407268556225574
2024-05-13,3.026265803902735
2024-05-14,2.047728742275286
2024-05-15,0.032219180187375684
2024-05-16,3.0925254702633893
2024-05-17,5.673332599329413
2024-05-18,7.840169006160558
2024-05-19,-20.79186193293141
2024-05-20,-14.52156801517009
2024-05-21,-12.992019223546084
2024-05-22,-7.8329673391155765
2024-05-23,-6.184686900007769
2024-05-24,-11.620251045359016
2024-05-25,-6.591489175595662
2024-05-26,-19.732433458961665
2024-05-27,-13.375853166445523
2024-05-28,-11.898778230279525
2024-05-29,-6.665643530499807
2024-05-30,-5.892752516868789
2024-05-31,-1.5423178892646163
2024-06-01,2.145076271555606
2024-06-02,4.530901901767823
2024-06-03,-18.2133138212236
2024-06-04,-11.930480587539499
2024-06-05,-6.574809157259679
2024-06-06,-2.0207379541950843
2024-06-07,1.4265169574856102
2024-06-08,4.754099559281109
2024-06-09,3.9987277468802027
