,TOTAL TSS
2022-03-13,10.293288706112888
2022-03-14,9.190302596018299
2022-03-15,21.60219667094804
2022-03-16,24.375106215794546
2022-03-17,
2022-03-18,
2022-03-19,15.231561976702562
2022-03-20,25.658946902640686
2022-03-21,17.078622719538238
2022-03-22,22.87390655575939
2022-03-23,24.287438577303224
2022-03-24,
2022-03-25,
2022-03-26,
2022-03-27,38.9916196824358
2022-03-28,9.738685145794012
2022-03-29,
2022-03-30,
2022-03-31,21.99370846430159
2022-04-01,
2022-04-02,
2022-04-03,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-09,17.930214273075492
2022-04-10,
2022-04-11,47.0601692456022
2022-04-12,9.230679950035212
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-16,25.722775597352395
2022-04-17,102.46866013402607
2022-04-18,127.60948947831787
2022-04-19,22.84999031112228
2022-04-20,
2022-04-21,33.60764660818006
2022-04-22,
2022-04-23,80.13170122577142
2022-04-24,139.58417579427046
2022-04-25,26.12548846994445
2022-04-26,
2022-04-27,
2022-04-28,19.42097839293981
2022-04-29,
2022-04-30,88.44368974544203
2022-05-01,37.28409730446125
2022-05-02,18.994399309158297
2022-05-03,18.41114509308497
2022-05-04,96.74558870432952
2022-05-05,
2022-05-06,
2022-05-07,60.77550456036441
2022-05-08,
2022-05-09,28.580418133850234
2022-05-10,
2022-05-11,98.70906951866925
2022-05-12,
2022-05-13,
2022-05-14,
2022-05-15,79.46990778631674
2022-05-16,7.34169100778333
2022-05-17,
2022-05-18,72.55158261961544
2022-05-19,42.13802241618361
2022-05-20,2.7380013117943443
2022-05-21,80.0847402932122
2022-05-22,
2022-05-23,
2022-05-24,49.49930604301471
2022-05-25,86.29783972441896
2022-05-26,45.893788782200204
2022-05-27,111.55717021711573
2022-05-28,110.79724961733307
2022-05-29,77.62650742674704
2022-05-30,
2022-05-31,35.03666702413063
2022-06-01,32.611191791860065
2022-06-02,39.87192686053056
2022-06-03,17.564452535037947
2022-06-04,98.34558396999785
2022-06-05,102.03531975862161
2022-06-06,
2022-06-07,41.676824700906685
2022-06-08,
2022-06-09,64.48584212877412
2022-06-10,60.03746909013535
2022-06-11,114.92681454057579
2022-06-12,169.08417410175238
2022-06-13,
2022-06-14,65.34370880913391
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,56.879897619548814
2022-06-22,19.20427882153054
2022-06-23,116.92869538465914
2022-06-24,
2022-06-25,34.82776742491872
2022-06-26,242.13999830488828
2022-06-27,
2022-06-28,
2022-06-29,
2022-06-30,
2022-07-01,
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,
2022-07-06,
2022-07-07,
2022-07-08,
2022-07-09,
2022-07-10,137.63359485155664
2022-07-11,32.275280028525295
2022-07-12,69.60690416344283
2022-07-13,
2022-07-14,70.73463629899447
2022-07-15,52.80826626653274
2022-07-16,105.87695867015628
2022-07-17,133.4587949006454
2022-07-18,
2022-07-19,227.68453298759817
2022-07-20,
2022-07-21,12.23430852297175
2022-07-22,113.95299072091541
2022-07-23,
2022-07-24,40.542864385305265
2022-07-25,
2022-07-26,
2022-07-27,
2022-07-28,
2022-07-29,
2022-07-30,
2022-07-31,
2022-08-01,117.22186639333448
2022-08-02,15.282307307675635
2022-08-03,
2022-08-04,
2022-08-05,
2022-08-06,
2022-08-07,618.6853920989555
2022-08-08,
2022-08-09,
2022-08-10,
2022-08-11,
2022-08-12,
2022-08-13,
2022-08-14,
2022-08-15,
2022-08-16,
2022-08-17,
2022-08-18,
2022-08-19,
2022-08-20,
2022-08-21,25.229648737015037
2022-08-22,
2022-08-23,
2022-08-24,
2022-08-25,
2022-08-26,
2022-08-27,
2022-08-28,
2022-08-29,
2022-08-30,
2022-08-31,
2022-09-01,26.190094531821835
2022-09-02,
2022-09-03,17.627763265743166
2022-09-04,33.08573766250467
2022-09-05,
2022-09-06,
2022-09-07,
2022-09-08,
2022-09-09,
2022-09-10,
2022-09-11,2.4452492072603262
2022-09-12,
2022-09-13,5.864754696783404
2022-09-14,
2022-09-15,
2022-09-16,
2022-09-17,
2022-09-18,
2022-09-19,24.03979883405016
2022-09-20,28.446528625488273
2022-09-21,
2022-09-22,12.899639453769705
2022-09-23,
2022-09-24,28.45418770133646
2022-09-25,53.22629099162645
2022-09-26,
2022-09-27,
2022-09-28,
2022-09-29,
2022-09-30,21.261985168602955
2022-10-01,
2022-10-02,
2022-10-03,
2022-10-04,
2022-10-05,
2022-10-06,
2022-10-07,2.866144470484259
2022-10-08,44.85664838748306
2022-10-09,
2022-10-10,
2022-10-11,
2022-10-12,27.937366889642
2022-10-13,
2022-10-14,
2022-10-15,
2022-10-16,32.73384249240484
2022-10-17,
2022-10-18,
2022-10-19,
2022-10-20,
2022-10-21,19.77459477340983
2022-10-22,
2022-10-23,49.64838154149191
2022-10-24,
2022-10-25,36.14362900931772
2022-10-26,9.839033296356806
2022-10-27,
2022-10-28,42.0417982764866
2022-10-29,
2022-10-30,34.19615206184951
2022-10-31,
2022-11-01,
2022-11-02,33.82144703756885
2022-11-03,
2022-11-04,37.25528575774631
2022-11-05,
2022-11-06,
2022-11-07,
2022-11-08,
2022-11-09,
2022-11-10,
2022-11-11,15.615024322060052
2022-11-12,
2022-11-13,35.3384370206209
2022-11-14,
2022-11-15,
2022-11-16,
2022-11-17,27.417374238739264
2022-11-18,
2022-11-19,
2022-11-20,10.832105244611743
2022-11-21,
2022-11-22,
2022-11-23,
2022-11-24,
2022-11-25,
2022-11-26,
2022-11-27,
2022-11-28,
2022-11-29,
2022-11-30,
2022-12-01,12.612437515080183
2022-12-02,
2022-12-03,
2022-12-04,
2022-12-05,
2022-12-06,
2022-12-07,
2022-12-08,
2022-12-09,
2022-12-10,
2022-12-11,
2022-12-12,
2022-12-13,
2022-12-14,
2022-12-15,
2022-12-16,31.75422527019378
2022-12-17,12.155291246151439
2022-12-18,
2022-12-19,35.71075201034544
2022-12-20,
2022-12-21,
2022-12-22,43.040167625041114
2022-12-23,
2022-12-24,85.20716549177105
2022-12-25,57.9609732982542
2022-12-26,35.83074188232423
2022-12-27,123.27827933374853
2022-12-28,
2022-12-29,106.53132960602024
2022-12-30,
2022-12-31,
2023-01-01,
2023-01-02,
2023-01-03,
2023-01-04,19.286803717691726
2023-01-05,30.305019681677948
2023-01-06,
2023-01-07,36.07734551562304
2023-01-08,43.33162207441205
2023-01-09,
2023-01-10,
2023-01-11,50.07321202687377
2023-01-12,34.30719411666093
2023-01-13,37.03239069947965
2023-01-14,60.980375999493894
2023-01-15,96.42078646129232
2023-01-16,
2023-01-17,
2023-01-18,
2023-01-19,
2023-01-20,
2023-01-21,
2023-01-22,
2023-01-23,
2023-01-24,
2023-01-25,
2023-01-26,
2023-01-27,
2023-01-28,
2023-01-29,
2023-01-30,
2023-01-31,
2023-02-01,
2023-02-02,
2023-02-03,
2023-02-04,
2023-02-05,
2023-02-06,
2023-02-07,
2023-02-08,
2023-02-09,
2023-02-10,
2023-02-11,
2023-02-12,1.588015370368633
2023-02-13,
2023-02-14,
2023-02-15,
2023-02-16,
2023-02-17,
2023-02-18,
2023-02-19,
2023-02-20,
2023-02-21,
2023-02-22,
2023-02-23,
2023-02-24,
2023-02-25,
2023-02-26,
2023-02-27,
2023-02-28,
2023-03-01,
2023-03-02,
2023-03-03,
2023-03-04,
2023-03-05,
2023-03-06,
2023-03-07,
2023-03-08,
2023-03-09,
2023-03-10,
2023-03-11,
2023-03-12,
2023-03-13,
2023-03-14,25.291300564464926
2023-03-15,6.812185883220765
2023-03-16,
2023-03-17,32.18654334736529
2023-03-18,
2023-03-19,31.75887979189966
2023-03-20,
2023-03-21,40.965319118736645
2023-03-22,37.5956164646585
2023-03-23,15.244907862689336
2023-03-24,
2023-03-25,76.12294157777984
2023-03-26,27.744709351867687
2023-03-27,
2023-03-28,48.14912449785926
2023-03-29,32.74978415276466
2023-03-30,
2023-03-31,
2023-04-01,27.175329336011323
2023-04-02,
2023-04-03,
2023-04-04,
2023-04-05,
2023-04-06,
2023-04-07,22.737839405722777
2023-04-08,52.018702200725485
2023-04-09,37.876989990462484
2023-04-10,31.999314104164206
2023-04-11,
2023-04-12,
2023-04-13,
2023-04-14,
2023-04-15,85.76180010894649
2023-04-16,
2023-04-17,
2023-04-18,26.011563700882512
2023-04-19,20.989390796344104
2023-04-20,17.29676721001393
2023-04-21,
2023-04-22,64.54228163174747
2023-04-23,43.61696865445931
2023-04-24,8.123038998800471
2023-04-25,19.25619570138622
2023-04-26,
2023-04-27,38.893887690528565
2023-04-28,
2023-04-29,54.12483438620437
2023-04-30,57.13224747699244
2023-05-01,
2023-05-02,25.78987181264026
2023-05-03,
2023-05-04,47.23219353724524
2023-05-05,
2023-05-06,65.76177808422688
2023-05-07,67.12557689837088
2023-05-08,
2023-05-09,20.377560290552612
2023-05-10,22.88545095713148
2023-05-11,
2023-05-12,35.59837466138811
2023-05-13,65.79512329101581
2023-05-14,84.70355314289323
2023-05-15,
2023-05-16,
2023-05-17,
2023-05-18,4.013756687104902
2023-05-19,14.099335810190562
2023-05-20,57.97549815979945
2023-05-21,45.64998839964072
2023-05-22,
2023-05-23,
2023-05-24,
2023-05-25,41.259128845956866
2023-05-26,12.683258902601818
2023-05-27,57.084673496244484
2023-05-28,74.47702603259002
2023-05-29,
2023-05-30,38.74450086676093
2023-05-31,
2023-06-01,
2023-06-02,
2023-06-03,
2023-06-04,
2023-06-05,
