Date,Score moy.,Qualité moy.,Durée moyenne,Heure de coucher moyenne,Heure de lever moyenne
Juil 11-17,83,Bon,8h 28min.,10:43 PM,7:47 AM
Juil 4-10,81,Bon,8h 15min.,10:54 PM,7:25 AM
Juin 27 - Juil 3,84,Bon,9h 14min.,10:39 PM,8:17 AM
Juin 20-26,77,Passable,8h 12min.,11:22 PM,7:48 AM
Juin 13-19,82,Bon,9h 7min.,10:31 PM,8:00 AM
Juin 6-12,74,Passable,7h 10min.,2:43 AM,10:19 AM
Mai 30 - Juin 5,83,Bon,8h 3min.,11:00 PM,7:21 AM
Mai 23-29,87,Bon,8h 47min.,10:37 PM,7:36 AM
Mai 16-22,87,Bon,8h 4min.,11:27 PM,7:42 AM
Mai 9-15,84,Bon,9h 28min.,10:50 PM,8:35 AM
Mai 2-8,87,Bon,9h 3min.,10:10 PM,7:19 AM
Avr. 25 - Mai 1,80,Bon,7h 51min.,11:02 PM,7:04 AM
Avr. 18-24,84,Bon,8h 50min.,10:15 PM,7:34 AM
Avr. 11-17,87,Bon,9h 3min.,10:52 PM,8:11 AM
Avr. 4-10,87,Bon,9h 7min.,10:12 PM,7:36 AM
Mar. 28 - Avr. 3,85,Bon,8h 55min.,11:22 PM,8:35 AM
Mar. 21-27,78,Passable,8h 31min.,9:57 PM,6:56 AM
Mar. 14-20,79,Passable,9h 23min.,9:24 PM,7:17 AM
Mar. 7-13,82,Bon,8h 23min.,10:04 PM,7:00 AM
Fév. 29 - Mar. 6,74,Passable,8h 51min.,9:49 PM,7:01 AM
Fév. 22-28,73,Passable,8h 19min.,10:58 PM,7:40 AM
Fév. 15-21,74,Passable,8h 56min.,10:38 PM,8:15 AM
Fév. 8-14,82,Bon,8h 47min.,10:15 PM,7:25 AM
Fév. 1-7,74,Passable,9h 6min.,10:43 PM,8:17 AM
Jan. 25-31,77,Passable,9h 1min.,10:49 PM,8:29 AM
Jan. 18-24,75,Passable,9h 34min.,10:51 PM,8:57 AM
Jan. 11-17,69,Passable,8h 52min.,11:11 PM,8:47 AM
Jan. 4-10,75,Passable,7h 44min.,11:46 PM,8:06 AM
Déc. 28 2023 - Jan. 3 2024,71,Passable,8h 4min.,1:33 AM,10:28 AM
Déc. 21-27 2023,75,Passable,7h 15min.,2:26 AM,9:55 AM
Déc. 14-20 2023,80,Bon,8h 22min.,11:04 PM,7:40 AM
Déc. 7-13 2023,74,Passable,9h 14min.,9:50 PM,7:51 AM
Nov. 30 - Déc. 6 2023,77,Passable,9h 11min.,10:36 PM,8:19 AM
Nov. 23-29 2023,74,Passable,9h 1min.,9:59 PM,7:41 AM
Nov. 16-22 2023,77,Passable,8h 17min.,10:08 PM,6:53 AM
Nov. 9-15 2023,75,Passable,8h 29min.,10:27 PM,7:11 AM
Nov. 2-8 2023,76,Passable,8h 35min.,11:13 PM,8:14 AM
Oct 26 - Nov. 1 2023,81,Bon,8h 50min.,9:30 PM,6:38 AM
Oct 19-25 2023,81,Bon,8h 15min.,10:41 PM,7:21 AM
Oct 12-18 2023,85,Bon,7h 58min.,10:08 PM,6:24 AM
Oct 5-11 2023,78,Passable,7h 35min.,10:04 PM,6:05 AM
Sep. 28 - Oct 4 2023,80,Bon,7h 41min.,10:18 PM,6:23 AM
Sep. 21-27 2023,80,Bon,9h 10min.,10:19 PM,7:46 AM
Sep. 14-20 2023,87,Bon,8h 39min.,10:32 PM,7:25 AM
Sep. 7-13 2023,79,Passable,9h 8min.,11:10 PM,8:40 AM
Août 31 - Sep. 6 2023,66,Passable,6h 58min.,1:05 AM,8:23 AM
Août 24-30 2023,78,Passable,8h 15min.,12:16 AM,8:55 AM
Août 17-23 2023,72,Passable,7h 33min.,11:23 PM,7:21 AM
Août 10-16 2023,65,Passable,7h 41min.,11:29 PM,7:49 AM
Août 3-9 2023,81,Bon,8h 57min.,11:15 PM,8:38 AM
Juil 27 - Août 2 2023,82,Bon,8h 58min.,11:25 PM,8:52 AM
Juil 20-26 2023,80,Bon,9h 17min.,11:33 PM,9:21 AM
