"Timestamp","Type","Value"
"2022-05-21 10:57:19","Weight Kilograms","79.00"
"2022-08-02 00:00:00","Sleep Hours","8.90"
"2022-08-02 00:00:00","Time In Deep Sleep","0.716666638851166"
"2022-08-02 00:00:00","Time In Light Sleep","6.78333330154419"
"2022-08-02 00:00:00","Time In REM Sleep","1.39999997615814"
"2022-08-02 00:00:00","Time Awake","1.11666667461395"
"2022-08-02 00:00:00","Stress Level","Max : 80 / Avg : 26"
"2022-08-02 00:00:00","Stress Qualifier","balanced"
"2022-08-02 00:00:00","Body Battery","Min : 18 / Max : 70 / Avg : 50"
"2022-08-03 00:00:00","Stress Level","Max : 92 / Avg : 25"
"2022-08-03 00:00:00","Stress Qualifier","calm_awake"
"2022-08-03 00:00:00","Body Battery","Min : 25 / Max : 68 / Avg : 42"
"2022-08-04 00:00:00","Stress Level","Max : 87 / Avg : 24"
"2022-08-04 00:00:00","Stress Qualifier","calm_awake"
"2022-08-04 00:00:00","Body Battery","Min : 24 / Max : 68 / Avg : 41"
"2022-08-05 00:00:00","Stress Level","Max : 99 / Avg : 23"
"2022-08-05 00:00:00","Stress Qualifier","calm_awake"
"2022-08-05 00:00:00","Body Battery","Min : 25 / Max : 90 / Avg : 58"
"2022-08-06 00:00:00","Stress Level","Max : 97 / Avg : 24"
"2022-08-06 00:00:00","Stress Qualifier","calm_awake"
"2022-08-06 00:00:00","Body Battery","Min : 28 / Max : 77 / Avg : 48"
"2022-08-07 00:00:00","Stress Level","Max : 86 / Avg : 25"
"2022-08-07 00:00:00","Stress Qualifier","balanced_awake"
"2022-08-07 00:00:00","Body Battery","Min : 5 / Max : 69 / Avg : 26"
"2022-08-08 00:00:00","Stress Level","Max : 91 / Avg : 55"
"2022-08-08 00:00:00","Stress Qualifier","stressful_awake"
"2022-08-08 00:00:00","Body Battery","Min : 5 / Max : 7 / Avg : 5"
"2022-08-09 00:00:00","Stress Level","Max : 79 / Avg : 23"
"2022-08-09 00:00:00","Stress Qualifier","calm_awake"
"2022-08-09 00:00:00","Body Battery","Min : 5 / Max : 68 / Avg : 40"
"2022-08-10 00:00:00","Stress Level","Max : 75 / Avg : 26"
"2022-08-10 00:00:00","Stress Qualifier","calm_awake"
"2022-08-10 00:00:00","Body Battery","Min : 24 / Max : 76 / Avg : 48"
"2022-08-11 00:00:00","Stress Level","Max : 83 / Avg : 27"
"2022-08-11 00:00:00","Stress Qualifier","calm_awake"
"2022-08-11 00:00:00","Body Battery","Min : 26 / Max : 77 / Avg : 48"
"2022-08-12 00:00:00","Stress Level","Max : 81 / Avg : 24"
"2022-08-12 00:00:00","Stress Qualifier","calm_awake"
"2022-08-12 00:00:00","Body Battery","Min : 24 / Max : 80 / Avg : 51"
"2022-08-13 00:00:00","Stress Level","Max : 94 / Avg : 22"
"2022-08-13 00:00:00","Stress Qualifier","calm_awake"
"2022-08-13 00:00:00","Body Battery","Min : 34 / Max : 100 / Avg : 71"
"2022-08-14 00:00:00","Stress Level","Max : 87 / Avg : 34"
"2022-08-14 00:00:00","Stress Qualifier","balanced_awake"
"2022-08-14 00:00:00","Body Battery","Min : 26 / Max : 64 / Avg : 44"
"2022-08-15 00:00:00","Stress Level","Max : 84 / Avg : 20"
"2022-08-15 00:00:00","Stress Qualifier","calm_awake"
"2022-08-15 00:00:00","Body Battery","Min : 26 / Max : 100 / Avg : 68"
"2022-08-16 00:00:00","Stress Level","Max : 84 / Avg : 24"
"2022-08-16 00:00:00","Stress Qualifier","calm_awake"
"2022-08-16 00:00:00","Body Battery","Min : 36 / Max : 100 / Avg : 67"
"2022-08-17 00:00:00","Stress Level","Max : 85 / Avg : 26"
"2022-08-17 00:00:00","Stress Qualifier","calm_awake"
"2022-08-17 00:00:00","Body Battery","Min : 29 / Max : 95 / Avg : 57"
"2022-08-18 00:00:00","Stress Level","Max : 93 / Avg : 21"
"2022-08-18 00:00:00","Stress Qualifier","calm_awake"
"2022-08-18 00:00:00","Body Battery","Min : 30 / Max : 99 / Avg : 65"
"2022-08-19 00:00:00","Stress Level","Max : 97 / Avg : 25"
"2022-08-19 00:00:00","Stress Qualifier","calm_awake"
"2022-08-19 00:00:00","Body Battery","Min : 26 / Max : 100 / Avg : 69"
"2022-08-20 00:00:00","Stress Level","Max : 65 / Avg : 22"
"2022-08-20 00:00:00","Stress Qualifier","calm_awake"
"2022-08-20 00:00:00","Body Battery","Min : 26 / Max : 80 / Avg : 56"
"2022-08-21 00:00:00","Stress Level","Max : 99 / Avg : 30"
"2022-08-21 00:00:00","Stress Qualifier","calm_awake"
"2022-08-21 00:00:00","Body Battery","Min : 29 / Max : 84 / Avg : 55"
"2022-08-22 00:00:00","Stress Level","Max : 87 / Avg : 23"
"2022-08-22 00:00:00","Stress Qualifier","calm_awake"
"2022-08-22 00:00:00","Body Battery","Min : 29 / Max : 79 / Avg : 56"
"2022-08-23 00:00:00","Stress Level","Max : 84 / Avg : 24"
"2022-08-23 00:00:00","Stress Qualifier","calm_awake"
"2022-08-23 00:00:00","Body Battery","Min : 29 / Max : 100 / Avg : 68"
"2022-08-24 00:00:00","Stress Level","Max : 80 / Avg : 26"
"2022-08-24 00:00:00","Stress Qualifier","calm_awake"
"2022-08-24 00:00:00","Body Battery","Min : 27 / Max : 78 / Avg : 53"
