"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Zone 3 Intervals","Run","Warm up for 20 minutes in zone 1-2 then do: 8X3 minutes in zone 3 on 2 minutes recovery in-between. cool down for 10 minutes in zone 1-2","1.16666666666667","","2023-03-14","","3874.84008789063","","","","","0.713550567626953","1.50800001621246","","107","","135","167","","","0.850472686691219","56.72","6","21","4","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-03-15","","1232.82995605469","","","","","0.359491109848022","0.953000009059906","","68","","110","149","","","0.44680047068196","7.75","2","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2023-03-17","","1400","","","","","0.502244447072347","0.774336283185841","","24","","140","167","","","1.31631343057115","114.55","5","11","8","1","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-03-17","","1566.67004394531","","","","","0.498894184827805","0.871999979019165","","76","","139","173","","","0.355529438252647","6.87","2","3","3","11","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-03-19","","3262.669921875","","","","","0.84089583158493","1.07799994945526","","117","","138","183","","","0.551259446103438","28.19","2","26","1","2","2","2","0","","","","","","","","","","","","","","",""
"easy effort spin","Bike","Main Set: -45 minutes in Zone 1","0.75","","2023-03-21","","17700.91015625","","","","","0.696499705314636","7.05900001525879","","","","142","174","","","0.741157209764962","42","2","11","13","8","0","0","0","","","","","","","","","","","","","","",""
"Swim Test","Swim","Warm Up: 200 Swim, 200 Kick, 200 Pull 1,000 yard Time Trail! Cool Down: 100 easy","0.818333333333333","1554.47998046875","2023-03-21","STANDARD TEST 1,000 yard/meter time trial In this test, you swim 1,000 meters as fast as you can without a break. Then take your average 100-meter time for the test and apply that as your Threshold Swim Pace. In TrainingPeaks you can either enter your average 100-meter time in seconds under Threshold Pace, or you can select “Distance/Duration,” select the distance of your test and enter your result; the app will then calculate your threshold for you.","1025","","","","","0.369965001212226","0.768365817091454","","22","","140","160","","","1.30830693766117","82.85","7","11","1","0","0","0","0","","","","","","","","","","","","","","",""
"Run Test","Run","Run Test! Warm up for 20 minutes in zone 1-2 then do: 20 minutes at a 5K or zone 3 effort 10 minutes easy zone 1-2 cool down","0.833333333333333","","2023-03-22","Warm up REALLY well before this test...I want you to be sweating before you start the test interval! Make sure you lap your watch or start your treadmill over so you have accurate and isolated data to calculate your run zones. The test interval should be done like you're racing a 5K...as fast as you can without slowing down or stopping! We then take your average pace for the test interval to calculate your run zones.","7087.47021484375","","","","","0.816478908061981","2.41100001335144","","134","","148","181","","","1.12754333836438","114.4","14","2","4","7","9","7","0","","","","","","","","","","","","","","",""
"Sprints!","Swim","Warm up with: 200 swim 100 kick 200 pull Really focus on your form during the warm-up because you MUST keep good form on these sprints. You will have slower times to start with, but they will begin to drop as good form becomes second nature. Main Set: 8x100 ALL OUT SPRINT! I want the recovery between these sets to be 2-3 minutes. I want your HR to come all the way back down, and the lactic acid to build up in your arms and legs. These need to be ALL OUT! As fast as humanly possible. That's the only reason you get such a long rest is because you need to be spent by the end of each 100. Also, these cannot get slower. I would prefer if they got faster. Record your times! 50s on one minute 15 seconds. I want you to do 10x50 sprints LEAVING on 1:15, so watch the clock! These are not necessarily all out, but still a sprint. 10x25 on 30 seconds. These ARE all out, and I want you leaving the wall at 30 seconds. Don't sandbag these because they're at the end of the workout. Cooldown: 200 easy swim","0.5","1188.71997070313","2023-03-23","","1300","","","","","0.414196668730842","0.871313672922252","","25","","142","170","","","1.48211932937542","134.85","9","9","4","1","0","0","0","","","","","","","","","","","","","","",""
"Bike Test","Bike","Warm Up: -5 minutes zone 1 -10 minutes zone 2 -4 x :30 second sprints at Zone 4 with 1 minute of recovery in zone 1 in between intervals -4 minutes zone 2 Main Set: perform a 20 or 30-minute time trial going as hard as you can maintain for that entire duration (This should be done on a level course or on a trainer). Cool Down: 5 minutes zone 1","1","","2023-03-25","Use this workout to set or re confirm your zones. When setting your zones we share with the 80/20 calculator, so that is the calculator you will use inside of TrainingPeaks. The 80/20 calculator is based off of a 30 minute test, so doing a 30 minute test is going to be more accurate. If going off of watts plug in your average 30 minute power to calculate your bike power zones. A 20 minute test is still good to go off of, but if performing a 20 minute power test times your average 20 minute power by .95 to get your number to plug into the calculator. You can choose to go for 20 or 30 minutes. This is an all out effort. If going off of heart rate, take your highest 20 minute average heart rate and plug it into the 80/20 cycling heart rate calculator to set up your cycling heart rate zones.","23876.30078125","","","","","0.867376625537872","7.64599990844727","","","","149","174","","","0.772278563696365","57.09","0","12","20","15","0","0","0","","","","","","","","","","","","","","",""
