Title,WorkoutType,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,CoachComments,DistanceInMeters,PowerAverage,PowerMax,Energy,AthleteComments,TimeTotalInHours,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,HeartRateAverage,HeartRateMax,TorqueAverage,TorqueMax,IF,TSS,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling
Other,Other,,,,2022-03-12,,0.0,,,,,0.107280552387238,0.0,,,,115.0,153.0,,,0.7180487436089,5.79,3.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Other,Other,,,,2022-03-12,,,,,,,0.0708924978971481,,,,,65.0,73.0,,,0.538088980786473,2.13,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Other,Other,,,,2022-03-13,,,,,,,0.092777781188488,,,,,67.0,74.0,,,0.53625416280951,2.79,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-13,,2190.78002929688,,,,,0.227821677923203,2.6710000038147,,76.0,,147.0,171.0,,,0.983059906869558,23.5,1.0,0.0,2.0,4.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-14,,2363.75,,,,,0.317826956510544,2.06599998474121,,62.0,,126.0,170.0,,,0.761089068413298,19.82,5.0,3.0,4.0,4.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-15,,3018.330078125,,,,,0.366062223911285,2.28999996185303,,74.0,,162.0,192.0,,,0.854517147791325,28.88,0.0,0.0,3.0,1.0,1.0,5.0,13.0,,,,,,,,,,,,,,,
Strength,Strength,,,,2022-03-15,,0.0,,,,,0.075263611972332,0.0,,,,153.0,173.0,,,1.02694120281548,8.28,0.0,0.0,1.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
Other,Other,,,,2022-03-16,,,,,,,0.0588283315300941,,,,,71.0,79.0,,,0.539435739482046,1.76,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-16,,3558.080078125,,,,,0.500625550746918,1.97399997711182,,72.0,,151.0,176.0,,,0.728983007524809,28.98,1.0,0.0,1.0,7.0,9.0,5.0,7.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-19,,760.710021972656,,,,,0.0935555547475815,2.2590000629425,,73.0,,138.0,158.0,,,0.900050600428675,7.92,1.0,0.0,1.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-19,,1833.98999023438,,,,,0.201578065752983,2.52699995040894,,76.0,,161.0,184.0,,,0.929140564734344,18.56,0.0,0.0,0.0,1.0,1.0,2.0,8.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-20,,4130.2900390625,,,,,0.578884124755859,1.98199999332428,,74.0,,146.0,161.0,,,0.735641343659079,34.23,1.0,1.0,4.0,7.0,9.0,10.0,3.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-21,,2774.93994140625,,,,,0.350767493247986,2.19799995422363,,74.0,,151.0,165.0,,,0.801959467923919,24.37,1.0,0.0,1.0,4.0,2.0,4.0,9.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-22,,3480.34008789063,,,,,0.469793319702148,2.05800008773804,,73.0,,151.0,177.0,,,0.764929106674345,29.89,1.0,0.0,2.0,6.0,2.0,6.0,10.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-23,,3420.7900390625,,,,,0.418511390686035,2.26999998092651,,74.0,,161.0,186.0,,,0.84442428871862,32.33,1.0,0.0,0.0,1.0,1.0,1.0,20.0,,,,,,,,,,,,,,,
Strength,Strength,,,,2022-03-23,,0.0,,,,,0.18295556306839,0.0,,,,142.0,158.0,,,0.887103120007444,15.3,0.0,1.0,2.0,3.0,2.0,1.0,0.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-27,,5571.39990234375,,,,,0.772226691246033,2.00399994850159,,71.0,,153.0,186.0,,,0.756300145807355,48.6,2.0,2.0,1.0,6.0,8.0,9.0,18.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-28,,1616.08996582031,,,,,0.211498886346817,2.12299990653992,,73.0,,148.0,164.0,,,0.781562170026218,13.76,1.0,0.0,0.0,3.0,1.0,4.0,4.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-03-31,,3321.13989257813,,,,,0.36057722568512,2.55900001525879,,75.0,,164.0,184.0,,,0.943504781003431,34.66,0.0,1.0,0.0,1.0,1.0,1.0,17.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-09,,3219.0,,,,,0.465009152889252,1.92299997806549,,71.0,,139.0,169.0,,,0.721269817220257,26.29,2.0,5.0,8.0,5.0,3.0,2.0,3.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-11,,6437.0,,,,,0.759036660194397,2.35599994659424,,73.0,,165.0,178.0,,,0.879155046059671,64.53,2.0,1.0,1.0,1.0,1.0,0.0,39.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-12,,1615.61999511719,,,,,0.182813063263893,2.45499992370605,,72.0,,153.0,165.0,,,0.893190156085303,15.48,0.0,0.0,0.0,1.0,0.0,1.0,8.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-16,,3218.0,,,,,0.343797236680984,2.59999990463257,,73.0,,161.0,176.0,,,0.969802856133576,34.89,1.0,0.0,0.0,1.0,1.0,1.0,16.0,,,,,,,,,,,,,,,
Lap Swimming,Swim,,,,2022-04-16,,300.0,,,,,0.0746280564202203,1.11111111111111,,19.0,,153.0,173.0,,,0.416312056110961,0.54,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,,,,,,,,
Lap Swimming,Swim,,,,2022-04-17,,1700.0,,,,,0.262995556725396,1.79324894514768,,21.0,,118.0,136.0,,,0.669422606701061,7.89,9.0,6.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Indoor Cycling,Bike,,,,2022-04-17,,0.0,,,,,0.386988639831543,0.0,,,,143.0,165.0,,,0.927737859734109,36.03,3.0,1.0,4.0,7.0,1.0,2.0,6.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-18,,9656.0,,,,,1.2334908246994,2.17400002479553,,73.0,,159.0,187.0,,,0.813676165570975,90.93,1.0,3.0,5.0,3.0,3.0,6.0,52.0,,,,,,,,,,,,,,,
Lap Swimming,Swim,,,,2022-04-18,,1100.0,,,,,0.164698890050252,1.85185185185185,,19.0,,136.0,166.0,,,0.691674679018296,5.45,3.0,0.0,0.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
Strength,Strength,,,,2022-04-19,,0.740000009536743,,,,,0.298802763223648,0.0010000000474974,,,,106.0,134.0,,,0.624068029646589,12.51,16.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-19,,3219.0,,,,,0.429038047790527,2.08400011062622,,73.0,,156.0,170.0,,,0.789270778447056,29.0,1.0,1.0,0.0,4.0,2.0,2.0,16.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-21,,4828.0,,,,,0.631026923656464,2.125,,73.0,,156.0,167.0,,,0.798286629742626,44.04,1.0,0.0,1.0,2.0,1.0,8.0,24.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-23,,10461.0,,,,,1.38330578804016,2.1010000705719,,72.0,,155.0,172.0,,,0.797364597885502,98.24,2.0,1.0,3.0,9.0,15.0,12.0,40.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-23,,1066.33996582031,,,,,0.148017778992653,2.00099992752075,,74.0,,155.0,170.0,,,0.744547223567339,8.67,0.0,0.0,0.0,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,
Cycling,Bike,,,,2022-04-24,,5839.39990234375,,,,,0.371118873357773,4.37099981307983,,,,130.0,163.0,,,0.782876524640239,24.58,7.0,5.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
Lap Swimming,Swim,,,,2022-04-24,,1950.0,,,,,0.264108612272475,2.05047318611987,,21.0,,145.0,159.0,,,0.764631019562479,11.81,1.0,1.0,2.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-25,,4023.0,,,,,0.465706378221512,2.40000009536743,,75.0,,159.0,171.0,,,0.921477811858571,42.96,1.0,1.0,1.0,2.0,1.0,1.0,23.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-28,,3218.0,,,,,0.352188050746918,2.53800010681152,,74.0,,158.0,185.0,,,0.946922624587409,34.06,1.0,0.0,0.0,1.0,1.0,2.0,15.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-04-30,,10460.990234375,,,,,1.42651426792145,2.03699994087219,,69.0,,165.0,178.0,,,0.820038868148714,107.21,2.0,0.0,0.0,6.0,3.0,2.0,72.0,,,,,,,,,,,,,,,
Cycling,Bike,,,,2022-05-01,,20666.900390625,,,,,1.31678199768066,4.3600001335144,,,,121.0,141.0,,,0.681841132306981,68.28,35.0,27.0,15.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Running,Run,,,,2022-05-02,,3219.0,,,,,0.316573321819305,2.82500004768372,,75.0,,163.0,179.0,,,1.05378666570881,37.85,1.0,1.0,2.0,1.0,0.0,1.0,13.0,,,,,,,,,,,,,,,
Cycling,Bike,,,,2022-05-03,,8188.7099609375,,,,,0.721444129943848,3.15300011634827,,,,117.0,149.0,,,0.677660167279456,36.4,26.0,7.0,7.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
