"Timestamp","Type","Value"
"2023-03-03 00:00:00","Stress Level","Max : 93 / Avg : 33"
"2023-03-03 00:00:00","Stress Qualifier","calm_awake"
"2023-03-03 00:00:00","Body Battery","Min : 11 / Max : 91 / Avg : 53"
"2023-03-04 00:00:00","Stress Level","Max : 90 / Avg : 25"
"2023-03-04 00:00:00","Stress Qualifier","calm_awake"
"2023-03-04 00:00:00","Body Battery","Min : 13 / Max : 56 / Avg : 39"
"2023-03-05 00:00:00","Stress Level","Max : 83 / Avg : 24"
"2023-03-05 00:00:00","Stress Qualifier","calm_awake"
"2023-03-05 00:00:00","Body Battery","Min : 30 / Max : 89 / Avg : 57"
"2023-03-06 00:00:00","Stress Level","Max : 93 / Avg : 31"
"2023-03-06 00:00:00","Stress Qualifier","calm_awake"
"2023-03-06 00:00:00","Body Battery","Min : 27 / Max : 100 / Avg : 61"
"2023-03-07 00:00:00","Stress Level","Max : 93 / Avg : 33"
"2023-03-07 00:00:00","Stress Qualifier","balanced_awake"
"2023-03-07 00:00:00","Body Battery","Min : 8 / Max : 76 / Avg : 40"
"2023-03-08 00:00:00","Stress Level","Max : 95 / Avg : 28"
"2023-03-08 00:00:00","Stress Qualifier","calm_awake"
"2023-03-08 00:00:00","Body Battery","Min : 6 / Max : 75 / Avg : 33"
"2023-03-09 00:00:00","Stress Level","Max : 96 / Avg : 43"
"2023-03-09 00:00:00","Stress Qualifier","balanced_awake"
"2023-03-09 00:00:00","Body Battery","Min : 6 / Max : 90 / Avg : 44"
"2023-03-10 00:00:00","Stress Level","Max : 82 / Avg : 28"
"2023-03-10 00:00:00","Stress Qualifier","calm_awake"
"2023-03-10 00:00:00","Body Battery","Min : 16 / Max : 62 / Avg : 37"
"2023-03-11 00:00:00","Stress Level","Max : 95 / Avg : 28"
"2023-03-11 00:00:00","Stress Qualifier","calm_awake"
"2023-03-11 00:00:00","Body Battery","Min : 31 / Max : 100 / Avg : 64"
"2023-03-12 00:00:00","Stress Level","Max : 97 / Avg : 25"
"2023-03-12 00:00:00","Stress Qualifier","calm_awake"
"2023-03-12 00:00:00","Body Battery","Min : 35 / Max : 87 / Avg : 53"
"2023-03-13 00:00:00","Stress Level","Max : 99 / Avg : 26"
"2023-03-13 00:00:00","Stress Qualifier","calm_awake"
"2023-03-13 00:00:00","Body Battery","Min : 37 / Max : 100 / Avg : 65"
"2023-03-14 00:00:00","Stress Level","Max : 93 / Avg : 28"
"2023-03-14 00:00:00","Stress Qualifier","calm_awake"
"2023-03-14 00:00:00","Body Battery","Min : 27 / Max : 93 / Avg : 57"
"2023-03-15 00:00:00","Sleep Hours","8.77"
"2023-03-15 00:00:00","Time In Deep Sleep","0.766666650772095"
"2023-03-15 00:00:00","Time In Light Sleep","5.98333311080933"
"2023-03-15 00:00:00","Time In REM Sleep","2.01666665077209"
"2023-03-15 00:00:00","Time Awake","0.200000002980232"
"2023-03-15 00:00:00","Stress Level","Max : 99 / Avg : 29"
"2023-03-15 00:00:00","Stress Qualifier","calm_awake"
"2023-03-15 00:00:00","Body Battery","Min : 32 / Max : 80 / Avg : 55"
"2023-03-16 00:00:00","Sleep Hours","9.95"
"2023-03-16 00:00:00","Time In Deep Sleep","1.75"
"2023-03-16 00:00:00","Time In Light Sleep","6.5"
"2023-03-16 00:00:00","Time In REM Sleep","1.70000004768372"
"2023-03-16 00:00:00","Time Awake","0.550000011920929"
"2023-03-16 00:00:00","Stress Level","Max : 89 / Avg : 32"
"2023-03-16 00:00:00","Stress Qualifier","balanced"
"2023-03-16 00:00:00","Body Battery","Min : 24 / Max : 81 / Avg : 50"
"2023-03-17 00:00:00","Sleep Hours","8.35"
"2023-03-17 00:00:00","Time In Deep Sleep","0.766666650772095"
"2023-03-17 00:00:00","Time In Light Sleep","5.66666650772095"
"2023-03-17 00:00:00","Time In REM Sleep","1.91666662693024"
"2023-03-17 00:00:00","Time Awake","0.0500000007450581"
"2023-03-17 00:00:00","Stress Level","Max : 98 / Avg : 25"
"2023-03-17 00:00:00","Stress Qualifier","balanced"
"2023-03-17 00:00:00","Body Battery","Min : 20 / Max : 90 / Avg : 54"
"2023-03-18 00:00:00","Stress Level","Max : 76 / Avg : 25"
"2023-03-18 00:00:00","Stress Qualifier","calm_awake"
"2023-03-18 00:00:00","Body Battery","Min : 23 / Max : 51 / Avg : 41"
"2023-03-19 00:00:00","Stress Level","Max : 100 / Avg : 26"
"2023-03-19 00:00:00","Stress Qualifier","calm_awake"
"2023-03-19 00:00:00","Body Battery","Min : 28 / Max : 84 / Avg : 55"
"2023-03-20 00:00:00","Stress Level","Max : 79 / Avg : 24"
"2023-03-20 00:00:00","Stress Qualifier","calm_awake"
"2023-03-20 00:00:00","Body Battery","Min : 32 / Max : 70 / Avg : 52"
"2023-03-21 00:00:00","Sleep Hours","6.93"
"2023-03-21 00:00:00","Time In Deep Sleep","0.766666650772095"
"2023-03-21 00:00:00","Time In Light Sleep","5.13333320617676"
"2023-03-21 00:00:00","Time In REM Sleep","1.03333330154419"
"2023-03-21 00:00:00","Time Awake","0.483333319425583"
"2023-03-21 00:00:00","Stress Level","Max : 99 / Avg : 29"
"2023-03-21 00:00:00","Stress Qualifier","balanced"
"2023-03-21 00:00:00","Body Battery","Min : 13 / Max : 89 / Avg : 53"
"2023-03-22 00:00:00","Sleep Hours","9.70"
"2023-03-22 00:00:00","Time In Deep Sleep","1.03333330154419"
"2023-03-22 00:00:00","Time In Light Sleep","6.91666650772095"
"2023-03-22 00:00:00","Time In REM Sleep","1.75"
