"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Other","Other","","","","2022-03-12","","0","","","","","0.107280552387238","0","","","","115","153","","","0.7180487436089","5.79","3","1","1","1","0","0","0","","","","","","","","","","","","","","",""
"Other","Other","","","","2022-03-12","","","","","","","0.0708924978971481","","","","","65","73","","","0.538088980786473","2.13","4","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Other","Other","","","","2022-03-13","","","","","","","0.092777781188488","","","","","67","74","","","0.53625416280951","2.79","6","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-13","","2190.78002929688","","","","","0.227821677923203","2.6710000038147","","76","","147","171","","","0.983059906869558","23.5","1","0","2","4","1","1","4","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-14","","2363.75","","","","","0.317826956510544","2.06599998474121","","62","","126","170","","","0.761089068413298","19.82","5","3","4","4","0","0","1","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-15","","3018.330078125","","","","","0.366062223911285","2.28999996185303","","74","","162","192","","","0.854517147791325","28.88","0","0","3","1","1","5","13","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2022-03-15","","0","","","","","0.075263611972332","0","","","","153","173","","","1.02694120281548","8.28","0","0","1","1","1","0","2","","","","","","","","","","","","","","",""
"Other","Other","","","","2022-03-16","","","","","","","0.0588283315300941","","","","","71","79","","","0.539435739482046","1.76","4","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-16","","3558.080078125","","","","","0.500625550746918","1.97399997711182","","72","","151","176","","","0.728983007524809","28.98","1","0","1","7","9","5","7","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-19","","760.710021972656","","","","","0.0935555547475815","2.2590000629425","","73","","138","158","","","0.900050600428675","7.92","1","0","1","2","1","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-19","","1833.98999023438","","","","","0.201578065752983","2.52699995040894","","76","","161","184","","","0.929140564734344","18.56","0","0","0","1","1","2","8","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-20","","4130.2900390625","","","","","0.578884124755859","1.98199999332428","","74","","146","161","","","0.735641343659079","34.23","1","1","4","7","9","10","3","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-21","","2774.93994140625","","","","","0.350767493247986","2.19799995422363","","74","","151","165","","","0.801959467923919","24.37","1","0","1","4","2","4","9","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-22","","3480.34008789063","","","","","0.469793319702148","2.05800008773804","","73","","151","177","","","0.764929106674345","29.89","1","0","2","6","2","6","10","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-23","","3420.7900390625","","","","","0.418511390686035","2.26999998092651","","74","","161","186","","","0.84442428871862","32.33","1","0","0","1","1","1","20","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2022-03-23","","0","","","","","0.18295556306839","0","","","","142","158","","","0.887103120007444","15.3","0","1","2","3","2","1","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2022-03-27","","5571.39990234375","","","","","0.772226691246033","2.00399994850159","","71","","153","186","","","0.756300145807355","48.6","2","2","1","6","8","9","18","","","","","","","","","","","","","","",""
